Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Image01,https://raw.githubusercontent.com/coalhot/sideprojects/main/Image01.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Image02,https://raw.githubusercontent.com/coalhot/sideprojects/main/Image02.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Image03,https://raw.githubusercontent.com/coalhot/sideprojects/main/Image03.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Image04,https://raw.githubusercontent.com/coalhot/sideprojects/main/Image04.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Image05,https://raw.githubusercontent.com/coalhot/sideprojects/main/Image05.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Image06,https://raw.githubusercontent.com/coalhot/sideprojects/main/Image06.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Image07,https://raw.githubusercontent.com/coalhot/sideprojects/main/Image07.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Image08,https://raw.githubusercontent.com/coalhot/sideprojects/main/Image08.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Image09,https://raw.githubusercontent.com/coalhot/sideprojects/main/Image09.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Image10,https://raw.githubusercontent.com/coalhot/sideprojects/main/Image10.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Image11,https://raw.githubusercontent.com/coalhot/sideprojects/main/Image11.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Image12,https://raw.githubusercontent.com/coalhot/sideprojects/main/Image12.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Image13,https://raw.githubusercontent.com/coalhot/sideprojects/main/Image13.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
